session_id,timestamp,user_id,application,window_title,action_type,duration_seconds,loan_id,notes
TM-2025-10-03-PD-001,2025-10-03T08:02:15,P.Davis,Encompass,Pipeline - Active Loans,VIEW,45,,"Morning pipeline review"
TM-2025-10-03-PD-001,2025-10-03T08:03:00,P.Davis,Encompass,MNB-2024-08023 - Loan Summary,NAVIGATE,12,MNB-2024-08023,"Checking loan status"
TM-2025-10-03-PD-001,2025-10-03T08:03:12,P.Davis,Encompass,MNB-2024-08023 - Documents Tab,CLICK,180,MNB-2024-08023,"Reviewing uploaded documents"
TM-2025-10-03-PD-001,2025-10-03T08:06:12,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,APP_SWITCH,8,,"Switching to shadow tracker"
TM-2025-10-03-PD-001,2025-10-03T08:06:20,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,DATA_ENTRY,95,MNB-2024-08023,"Updating doc expiration dates in tracker"
TM-2025-10-03-PD-001,2025-10-03T08:07:55,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,FORMULA_EDIT,30,,"Fixing date calc formula in column G"
TM-2025-10-03-PD-001,2025-10-03T08:08:25,P.Davis,Outlook,RE: MNB-2024-08023 - Missing W2,APP_SWITCH,5,MNB-2024-08023,"Checking borrower email response"
TM-2025-10-03-PD-001,2025-10-03T08:08:30,P.Davis,Outlook,RE: MNB-2024-08023 - Missing W2,READ,45,MNB-2024-08023,"Reading borrower reply"
TM-2025-10-03-PD-001,2025-10-03T08:09:15,P.Davis,Outlook,RE: MNB-2024-08023 - Missing W2,COMPOSE,120,MNB-2024-08023,"Drafting follow-up for additional docs"
TM-2025-10-03-PD-001,2025-10-03T08:11:15,P.Davis,Encompass,MNB-2024-08023 - Conditions,APP_SWITCH,6,MNB-2024-08023,"Back to Encompass"
TM-2025-10-03-PD-001,2025-10-03T08:11:21,P.Davis,Encompass,MNB-2024-08023 - Conditions,DATA_ENTRY,90,MNB-2024-08023,"Updating condition status notes"
TM-2025-10-03-PD-001,2025-10-03T08:12:51,P.Davis,Encompass,MNB-2024-08025 - Loan Summary,NAVIGATE,15,MNB-2024-08025,"Next loan in queue"
TM-2025-10-03-PD-001,2025-10-03T08:13:06,P.Davis,Chrome,DocuSign - Pending Signatures,APP_SWITCH,8,MNB-2024-08025,"Checking e-sign status"
TM-2025-10-03-PD-001,2025-10-03T08:13:14,P.Davis,Chrome,DocuSign - Pending Signatures,VIEW,60,MNB-2024-08025,"Reviewing signature completion"
TM-2025-10-03-PD-001,2025-10-03T08:14:14,P.Davis,Encompass,MNB-2024-08025 - Documents Tab,APP_SWITCH,5,MNB-2024-08025,"Back to Encompass"
TM-2025-10-03-PD-001,2025-10-03T08:14:19,P.Davis,Encompass,MNB-2024-08025 - Documents Tab,DATA_ENTRY,75,MNB-2024-08025,"Logging DocuSign completion in Encompass"
TM-2025-10-03-PD-001,2025-10-03T08:15:34,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,APP_SWITCH,6,,"Back to shadow tracker"
TM-2025-10-03-PD-001,2025-10-03T08:15:40,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,DATA_ENTRY,40,MNB-2024-08025,"Updating tracker for 08025"
TM-2025-10-03-PD-001,2025-10-03T08:16:20,P.Davis,Teams,Processing Team Chat,APP_SWITCH,4,,"Checking team messages"
TM-2025-10-03-PD-001,2025-10-03T08:16:24,P.Davis,Teams,Processing Team Chat,READ,35,,"Reading message from J.Whitfield about pipeline priority"
TM-2025-10-03-PD-001,2025-10-03T08:16:59,P.Davis,Teams,Processing Team Chat,COMPOSE,25,,"Replying with status update"
TM-2025-10-03-PD-001,2025-10-03T08:17:24,P.Davis,Encompass,MNB-2024-08027 - Loan Summary,APP_SWITCH,8,MNB-2024-08027,"Next priority loan"
TM-2025-10-03-PD-001,2025-10-03T08:17:32,P.Davis,Encompass,MNB-2024-08027 - UW Conditions,NAVIGATE,10,MNB-2024-08027,"Checking underwriting conditions"
TM-2025-10-03-PD-001,2025-10-03T08:17:42,P.Davis,Chrome,MeridianCredit Portal - Verification,APP_SWITCH,7,MNB-2024-08027,"Pulling credit supplement"
TM-2025-10-03-PD-001,2025-10-03T08:17:49,P.Davis,Chrome,MeridianCredit Portal - Verification,DATA_ENTRY,45,MNB-2024-08027,"Entering borrower info for credit refresh"
TM-2025-10-03-PD-001,2025-10-03T08:18:34,P.Davis,Chrome,MeridianCredit Portal - Results,VIEW,30,MNB-2024-08027,"Reviewing updated credit report"
TM-2025-10-03-PD-001,2025-10-03T08:19:04,P.Davis,Encompass,MNB-2024-08027 - Credit Tab,APP_SWITCH,5,MNB-2024-08027,"Back to Encompass with credit data"
TM-2025-10-03-PD-001,2025-10-03T08:19:09,P.Davis,Encompass,MNB-2024-08027 - Credit Tab,DATA_ENTRY,60,MNB-2024-08027,"Manual entry of credit supplement results"
TM-2025-10-03-PD-001,2025-10-03T08:20:09,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,APP_SWITCH,5,,"Tracker update"
TM-2025-10-03-PD-001,2025-10-03T08:20:14,P.Davis,Excel,Stale_Doc_Tracker_v3.xlsx,DATA_ENTRY,35,MNB-2024-08027,"Logging credit refresh date"
TM-2025-10-03-PD-001,2025-10-03T08:20:49,P.Davis,Outlook,FW: MNB-2024-08027 - Credit Update,APP_SWITCH,4,MNB-2024-08027,"Emailing UW about credit refresh"
TM-2025-10-03-PD-001,2025-10-03T08:20:53,P.Davis,Outlook,FW: MNB-2024-08027 - Credit Update,COMPOSE,90,MNB-2024-08027,"Drafting email to U.Chen with credit supplement results"
TM-2025-10-03-PD-001,2025-10-03T08:22:23,P.Davis,Encompass,Pipeline - Active Loans,APP_SWITCH,8,,"Returning to pipeline view"
TM-2025-10-03-PD-001,2025-10-03T08:22:31,P.Davis,Encompass,Pipeline - Active Loans,VIEW,30,,"Scanning for rate lock expirations"
TM-2025-10-03-PD-001,2025-10-03T08:23:01,P.Davis,Encompass,MNB-2024-08029 - Loan Summary,NAVIGATE,12,MNB-2024-08029,"Rate lock expiring in 3 days"
