loan_id,application_date,borrower_name,loan_purpose,loan_type,property_state,property_type,loan_amount,appraised_value,ltv_pct,credit_score,dti_front_pct,dti_back_pct,aus_recommendation,loan_officer,processor,underwriter,status,current_stage,rate_locked,lock_expiration,days_in_pipeline,closing_date,funding_date,channel
MNB-2024-08001,2024-07-15,REDACTED-B001,Purchase,Conv30Fixed,TX,SFR,385000,415000,92.77,742,28.3,41.2,Approve/Eligible,L.Martinez,P.Johnson,U.Chen,Funded,Complete,Y,2024-08-20,32,2024-08-16,2024-08-17,Retail
MNB-2024-08002,2024-07-18,REDACTED-B002,RateTermRefi,Conv30Fixed,TX,SFR,295000,380000,77.63,768,22.1,35.8,Approve/Eligible,L.Martinez,P.Johnson,U.Chen,Funded,Complete,Y,2024-09-01,38,2024-08-25,2024-08-26,Retail
MNB-2024-08003,2024-07-22,REDACTED-B003,Purchase,FHA30Fixed,TX,Condo,225000,235000,95.74,618,31.5,52.4,Approve/Eligible,R.Thompson,P.Davis,U.Patel,Funded,Complete,Y,2024-09-05,41,2024-09-01,2024-09-02,Retail
MNB-2024-08004,2024-07-25,REDACTED-B004,Purchase,VA30Fixed,TX,SFR,410000,410000,100.00,695,26.8,44.1,Approve/Eligible,S.Williams,P.Johnson,U.Chen,Funded,Complete,Y,2024-09-10,39,2024-09-02,2024-09-03,Retail
MNB-2024-08005,2024-07-29,REDACTED-B005,CashOutRefi,Conv30Fixed,CA,SFR,520000,725000,71.72,758,24.6,38.9,Approve/Eligible,L.Martinez,P.Garcia,U.Patel,Funded,Complete,Y,2024-09-15,42,2024-09-09,2024-09-10,ConsumerDirect
MNB-2024-08006,2024-08-01,REDACTED-B006,Purchase,Conv30Fixed,FL,SFR,340000,355000,95.77,672,29.1,43.8,Approve/Eligible,R.Thompson,P.Davis,U.Chen,Funded,Complete,Y,2024-09-20,44,2024-09-14,2024-09-15,Retail
MNB-2024-08007,2024-08-05,REDACTED-B007,Purchase,Jumbo30Fixed,CA,SFR,980000,1250000,78.40,762,21.4,36.2,Approve/Eligible,M.Anderson,P.Garcia,U.Ramirez,Funded,Complete,Y,2024-09-25,47,2024-09-21,2024-09-22,Retail
MNB-2024-08008,2024-08-08,REDACTED-B008,Purchase,Conv30Fixed,TX,Townhouse,275000,290000,94.83,698,30.2,44.6,Approve/Eligible,S.Williams,P.Johnson,U.Patel,Denied,Underwriting,Y,2024-09-30,0,,,Retail
MNB-2024-08009,2024-08-12,REDACTED-B009,RateTermRefi,ConvARM5_1,TX,SFR,445000,610000,72.95,734,23.8,37.5,Approve/Eligible,L.Martinez,P.Davis,U.Chen,Funded,Complete,Y,2024-10-01,45,2024-09-26,2024-09-27,ConsumerDirect
MNB-2024-08010,2024-08-15,REDACTED-B010,Purchase,FHA30Fixed,TX,SFR,198000,205000,96.59,602,33.1,55.8,Refer/Caution,R.Thompson,P.Garcia,U.Ramirez,Denied,Underwriting,N,,0,,,Retail
MNB-2024-08011,2024-08-19,REDACTED-B011,Purchase,Conv30Fixed,CO,SFR,425000,445000,95.51,721,27.5,40.1,Approve/Eligible,M.Anderson,P.Johnson,U.Chen,Funded,Complete,Y,2024-10-10,48,2024-10-06,2024-10-07,Retail
MNB-2024-08012,2024-08-22,REDACTED-B012,Purchase,USDA30Fixed,TX,SFR,185000,195000,94.87,648,28.9,40.8,Approve/Eligible,S.Williams,P.Davis,U.Patel,Funded,Complete,Y,2024-10-15,50,2024-10-11,2024-10-12,Retail
MNB-2024-08013,2024-08-26,REDACTED-B013,CashOutRefi,Conv30Fixed,TX,SFR,310000,425000,72.94,745,22.8,36.4,Approve/Eligible,L.Martinez,P.Garcia,U.Chen,Funded,Complete,Y,2024-10-18,49,2024-10-14,2024-10-15,ConsumerDirect
MNB-2024-08014,2024-09-02,REDACTED-B014,Purchase,Conv30Fixed,TX,SFR,365000,375000,97.33,688,31.2,44.9,Approve/Eligible,R.Thompson,P.Johnson,U.Ramirez,Funded,Complete,Y,2024-10-25,50,2024-10-22,2024-10-23,Retail
MNB-2024-08015,2024-09-05,REDACTED-B015,Purchase,VA30Fixed,FL,SFR,290000,295000,98.31,712,25.4,42.3,Approve/Eligible,M.Anderson,P.Davis,U.Chen,Funded,Complete,Y,2024-10-28,49,2024-10-24,2024-10-25,Retail
MNB-2024-08016,2024-09-09,REDACTED-B016,RateTermRefi,Conv15Fixed,TX,SFR,215000,340000,63.24,782,18.5,32.1,Approve/Eligible,L.Martinez,P.Garcia,U.Patel,Funded,Complete,Y,2024-10-20,37,2024-10-16,2024-10-17,ConsumerDirect
MNB-2024-08017,2024-09-12,REDACTED-B017,Purchase,Conv30Fixed,TX,Condo,310000,320000,96.88,665,29.8,43.5,Approve/Eligible,S.Williams,P.Johnson,U.Chen,Withdrawn,Processing,N,,0,,,Retail
MNB-2024-08018,2024-09-16,REDACTED-B018,Purchase,FHA30Fixed,TX,SFR,248000,255000,97.25,625,32.4,54.1,Approve/Eligible,R.Thompson,P.Davis,U.Ramirez,Funded,Complete,Y,2024-11-05,46,2024-11-01,2024-11-02,Retail
MNB-2024-08019,2024-09-19,REDACTED-B019,Purchase,Jumbo30Fixed,TX,SFR,1150000,1425000,80.70,748,23.1,37.8,Approve/Eligible,M.Anderson,P.Garcia,U.Patel,Funded,Complete,Y,2024-11-10,48,2024-11-06,2024-11-07,Retail
MNB-2024-08020,2024-09-23,REDACTED-B020,Purchase,Conv30Fixed,TX,SFR,395000,410000,96.34,715,28.7,41.6,Approve/Eligible,L.Martinez,P.Johnson,U.Chen,Funded,Complete,Y,2024-11-12,46,2024-11-08,2024-11-09,Retail
MNB-2024-08021,2024-09-26,REDACTED-B021,CashOutRefi,Conv30Fixed,TX,SFR,280000,395000,70.89,738,21.9,35.2,Approve/Eligible,S.Williams,P.Davis,U.Ramirez,Funded,Complete,Y,2024-11-08,39,2024-11-04,2024-11-05,ConsumerDirect
MNB-2024-08022,2024-10-01,REDACTED-B022,Purchase,Conv30Fixed,AZ,SFR,355000,365000,97.26,692,30.5,44.2,Approve/Eligible,R.Thompson,P.Garcia,U.Chen,Funded,Complete,Y,2024-11-18,44,2024-11-14,2024-11-15,Retail
MNB-2024-08023,2024-10-04,REDACTED-B023,Purchase,VA30Fixed,TX,SFR,325000,330000,98.48,688,27.2,48.5,Approve/Eligible,M.Anderson,P.Johnson,U.Patel,Funded,Complete,Y,2024-11-22,45,2024-11-18,2024-11-19,Retail
MNB-2024-08024,2024-10-08,REDACTED-B024,Purchase,Conv30Fixed,TX,SFR,410000,430000,95.35,729,26.4,39.8,Approve/Eligible,L.Martinez,P.Davis,U.Ramirez,Funded,Complete,Y,2024-11-25,44,2024-11-21,2024-11-22,Retail
MNB-2024-08025,2024-10-11,REDACTED-B025,RateTermRefi,Conv30Fixed,TX,Condo,268000,310000,86.45,751,24.2,37.1,Approve/Eligible,S.Williams,P.Garcia,U.Chen,Funded,Complete,Y,2024-11-20,36,2024-11-16,2024-11-17,ConsumerDirect
MNB-2024-08026,2024-10-15,REDACTED-B026,Purchase,FHA30Fixed,TX,SFR,215000,220000,97.73,595,34.2,56.8,Refer/Caution,R.Thompson,P.Johnson,U.Patel,Suspended,Underwriting,Y,2024-12-15,0,,,Retail
MNB-2024-08027,2024-10-18,REDACTED-B027,Purchase,Conv30Fixed,TX,SFR,475000,495000,95.96,708,29.1,42.7,Approve/Eligible,M.Anderson,P.Davis,U.Ramirez,Funded,Complete,Y,2024-12-02,41,2024-11-28,2024-11-29,Retail
MNB-2024-08028,2024-10-22,REDACTED-B028,Purchase,Jumbo30Fixed,CA,SFR,1350000,1680000,80.36,775,19.8,34.5,Approve/Eligible,L.Martinez,P.Garcia,U.Chen,Funded,Complete,Y,2024-12-10,45,2024-12-06,2024-12-07,Retail
MNB-2024-08029,2024-10-25,REDACTED-B029,Purchase,Conv30Fixed,TX,Townhouse,298000,305000,97.70,681,31.8,45.1,Approve/Eligible,S.Williams,P.Johnson,U.Patel,Funded,Complete,Y,2024-12-12,44,2024-12-08,2024-12-09,Retail
MNB-2024-08030,2024-10-29,REDACTED-B030,CashOutRefi,Conv30Fixed,FL,SFR,345000,480000,71.88,762,23.5,37.9,Approve/Eligible,R.Thompson,P.Davis,U.Ramirez,Funded,Complete,Y,2024-12-08,36,2024-12-04,2024-12-05,ConsumerDirect
